,,30.Aug,2017
,Timezone,-7,
,,,
,Serial No.,7D00000041971C21,
,Location:,Site 1,
,High temperature limit (°C),70,
,Low temperature limit (°C),-30,
Date,Time,Temperature (°C),
06.10.2017,12:00:00,14.5,
06.10.2017,14:00:00,15,
06.10.2017,16:00:00,16.5,
06.10.2017,18:00:00,15,
06.10.2017,20:00:00,14,
06.10.2017,22:00:00,13,
06.11.2017,00:00:00,12,
06.11.2017,02:00:00,11.5,
06.11.2017,04:00:00,11,
06.11.2017,06:00:00,11,
06.11.2017,08:00:00,11.5,
06.11.2017,10:00:00,13.5,
06.11.2017,12:00:00,17,
06.11.2017,14:00:00,21,
06.11.2017,16:00:00,23,
06.11.2017,18:00:00,21.5,
06.11.2017,20:00:00,18.5,
06.11.2017,22:00:00,16,
06.12.2017,00:00:00,13.5,
06.12.2017,02:00:00,12,
06.12.2017,04:00:00,11,
06.12.2017,06:00:00,11,
06.12.2017,08:00:00,11.5,
06.12.2017,10:00:00,14.5,
06.12.2017,12:00:00,19,
06.12.2017,14:00:00,23,
06.12.2017,16:00:00,24.5,
06.12.2017,18:00:00,22.5,
06.12.2017,20:00:00,19.5,
06.12.2017,22:00:00,16.5,
06.13.2017,00:00:00,15,
06.13.2017,02:00:00,13.5,
06.13.2017,04:00:00,12,
06.13.2017,06:00:00,11.5,
06.13.2017,08:00:00,12.5,
06.13.2017,10:00:00,15,
06.13.2017,12:00:00,17.5,
06.13.2017,14:00:00,22,
06.13.2017,16:00:00,23.5,
06.13.2017,18:00:00,20.5,
06.13.2017,20:00:00,18,
06.13.2017,22:00:00,15.5,
06.14.2017,00:00:00,14,
06.14.2017,02:00:00,13,
06.14.2017,04:00:00,12,
06.14.2017,06:00:00,12,
06.14.2017,08:00:00,12.5,
06.14.2017,10:00:00,14,
06.14.2017,12:00:00,18,
06.14.2017,14:00:00,17.5,
06.14.2017,16:00:00,19.5,
06.14.2017,18:00:00,18.5,
06.14.2017,20:00:00,16.5,
06.14.2017,22:00:00,13.5,
06.15.2017,00:00:00,11.5,
06.15.2017,02:00:00,10,
06.15.2017,04:00:00,9,
06.15.2017,06:00:00,9,
06.15.2017,08:00:00,10.5,
06.15.2017,10:00:00,12,
06.15.2017,12:00:00,13.5,
06.15.2017,14:00:00,15.5,
06.15.2017,16:00:00,14.5,
06.15.2017,18:00:00,13.5,
06.15.2017,20:00:00,13,
06.15.2017,22:00:00,12.5,
06.16.2017,00:00:00,11.5,
06.16.2017,02:00:00,11,
06.16.2017,04:00:00,10.5,
06.16.2017,06:00:00,9.5,
06.16.2017,08:00:00,10,
06.16.2017,10:00:00,13,
06.16.2017,12:00:00,17.5,
06.16.2017,14:00:00,19.5,
06.16.2017,16:00:00,17,
06.16.2017,18:00:00,15.5,
06.16.2017,20:00:00,14.5,
06.16.2017,22:00:00,12.5,
06.17.2017,00:00:00,11,
06.17.2017,02:00:00,9.5,
06.17.2017,04:00:00,8.5,
06.17.2017,06:00:00,8,
06.17.2017,08:00:00,9,
06.17.2017,10:00:00,12.5,
06.17.2017,12:00:00,16.5,
06.17.2017,14:00:00,20,
06.17.2017,16:00:00,19.5,
06.17.2017,18:00:00,18,
06.17.2017,20:00:00,16,
06.17.2017,22:00:00,13.5,
06.18.2017,00:00:00,12.5,
06.18.2017,02:00:00,11.5,
06.18.2017,04:00:00,10.5,
06.18.2017,06:00:00,9.5,
06.18.2017,08:00:00,10,
06.18.2017,10:00:00,13,
06.18.2017,12:00:00,17.5,
06.18.2017,14:00:00,19.5,
06.18.2017,16:00:00,18.5,
06.18.2017,18:00:00,18,
06.18.2017,20:00:00,16.5,
06.18.2017,22:00:00,15,
06.19.2017,00:00:00,13.5,
06.19.2017,02:00:00,12.5,
06.19.2017,04:00:00,11.5,
06.19.2017,06:00:00,11,
06.19.2017,08:00:00,12.5,
06.19.2017,10:00:00,14.5,
06.19.2017,12:00:00,16,
06.19.2017,14:00:00,17,
06.19.2017,16:00:00,17.5,
06.19.2017,18:00:00,18.5,
06.19.2017,20:00:00,16.5,
06.19.2017,22:00:00,15,
06.20.2017,00:00:00,13,
06.20.2017,02:00:00,11.5,
06.20.2017,04:00:00,11,
06.20.2017,06:00:00,11.5,
06.20.2017,08:00:00,12.5,
06.20.2017,10:00:00,15,
06.20.2017,12:00:00,19.5,
06.20.2017,14:00:00,18.5,
06.20.2017,16:00:00,20,
06.20.2017,18:00:00,21,
06.20.2017,20:00:00,17.5,
06.20.2017,22:00:00,14.5,
06.21.2017,00:00:00,12.5,
06.21.2017,02:00:00,11.5,
06.21.2017,04:00:00,10.5,
06.21.2017,06:00:00,9.5,
06.21.2017,08:00:00,10,
06.21.2017,10:00:00,13,
06.21.2017,12:00:00,16,
06.21.2017,14:00:00,16,
06.21.2017,16:00:00,16,
06.21.2017,18:00:00,16.5,
06.21.2017,20:00:00,15,
06.21.2017,22:00:00,13.5,
06.22.2017,00:00:00,11.5,
06.22.2017,02:00:00,10,
06.22.2017,04:00:00,9.5,
06.22.2017,06:00:00,9,
06.22.2017,08:00:00,9.5,
06.22.2017,10:00:00,13,
06.22.2017,12:00:00,18,
06.22.2017,14:00:00,19,
06.22.2017,16:00:00,19.5,
06.22.2017,18:00:00,19,
06.22.2017,20:00:00,17,
06.22.2017,22:00:00,14,
06.23.2017,00:00:00,12,
06.23.2017,02:00:00,10,
06.23.2017,04:00:00,9,
06.23.2017,06:00:00,8,
06.23.2017,08:00:00,9,
06.23.2017,10:00:00,12.5,
06.23.2017,12:00:00,18,
06.23.2017,14:00:00,23.5,
06.23.2017,16:00:00,25,
06.23.2017,18:00:00,23,
06.23.2017,20:00:00,19.5,
06.23.2017,22:00:00,16,
06.24.2017,00:00:00,13.5,
06.24.2017,02:00:00,12,
06.24.2017,04:00:00,10.5,
06.24.2017,06:00:00,9.5,
06.24.2017,08:00:00,10.5,
06.24.2017,10:00:00,14,
06.24.2017,12:00:00,19,
06.24.2017,14:00:00,25,
06.24.2017,16:00:00,26.5,
06.24.2017,18:00:00,24,
06.24.2017,20:00:00,21,
06.24.2017,22:00:00,17.5,
06.25.2017,00:00:00,15.5,
06.25.2017,02:00:00,13.5,
06.25.2017,04:00:00,12.5,
06.25.2017,06:00:00,11.5,
06.25.2017,08:00:00,12.5,
06.25.2017,10:00:00,16,
06.25.2017,12:00:00,18.5,
06.25.2017,14:00:00,22.5,
06.25.2017,16:00:00,24,
06.25.2017,18:00:00,23,
06.25.2017,20:00:00,21,
06.25.2017,22:00:00,18.5,
06.26.2017,00:00:00,17,
06.26.2017,02:00:00,16,
06.26.2017,04:00:00,15,
06.26.2017,06:00:00,14.5,
06.26.2017,08:00:00,15,
06.26.2017,10:00:00,17.5,
06.26.2017,12:00:00,20,
06.26.2017,14:00:00,20.5,
06.26.2017,16:00:00,25.5,
06.26.2017,18:00:00,23,
06.26.2017,20:00:00,20,
06.26.2017,22:00:00,17,
06.27.2017,00:00:00,15.5,
06.27.2017,02:00:00,14,
06.27.2017,04:00:00,12.5,
06.27.2017,06:00:00,11,
06.27.2017,08:00:00,11.5,
06.27.2017,10:00:00,14.5,
06.27.2017,12:00:00,19.5,
06.27.2017,14:00:00,25.5,
06.27.2017,16:00:00,26.5,
06.27.2017,18:00:00,24.5,
06.27.2017,20:00:00,21,
06.27.2017,22:00:00,18,
06.28.2017,00:00:00,15.5,
06.28.2017,02:00:00,14,
06.28.2017,04:00:00,12.5,
06.28.2017,06:00:00,11.5,
06.28.2017,08:00:00,12.5,
06.28.2017,10:00:00,15.5,
06.28.2017,12:00:00,17,
06.28.2017,14:00:00,16.5,
06.28.2017,16:00:00,16,
06.28.2017,18:00:00,16.5,
06.28.2017,20:00:00,16,
06.28.2017,22:00:00,14,
06.29.2017,00:00:00,12,
06.29.2017,02:00:00,11.5,
06.29.2017,04:00:00,10.5,
06.29.2017,06:00:00,9.5,
06.29.2017,08:00:00,11,
06.29.2017,10:00:00,14,
06.29.2017,12:00:00,19.5,
06.29.2017,14:00:00,25,
06.29.2017,16:00:00,26.5,
06.29.2017,18:00:00,24.5,
06.29.2017,20:00:00,21.5,
06.29.2017,22:00:00,18.5,
06.30.2017,00:00:00,16,
06.30.2017,02:00:00,14.5,
06.30.2017,04:00:00,13,
06.30.2017,06:00:00,12.5,
06.30.2017,08:00:00,13,
06.30.2017,10:00:00,16,
06.30.2017,12:00:00,21,
06.30.2017,14:00:00,26.5,
06.30.2017,16:00:00,28,
06.30.2017,18:00:00,24.5,
06.30.2017,20:00:00,22,
06.30.2017,22:00:00,19,
07.01.2017,00:00:00,17.5,
07.01.2017,02:00:00,16,
07.01.2017,04:00:00,14.5,
07.01.2017,06:00:00,13,
07.01.2017,08:00:00,14,
07.01.2017,10:00:00,16.5,
07.01.2017,12:00:00,21.5,
07.01.2017,14:00:00,25.5,
07.01.2017,16:00:00,28,
07.01.2017,18:00:00,26.5,
07.01.2017,20:00:00,23,
07.01.2017,22:00:00,20,
07.02.2017,00:00:00,17.5,
07.02.2017,02:00:00,16,
07.02.2017,04:00:00,14.5,
07.02.2017,06:00:00,13.5,
07.02.2017,08:00:00,14,
07.02.2017,10:00:00,17,
07.02.2017,12:00:00,21.5,
07.02.2017,14:00:00,27,
07.02.2017,16:00:00,28.5,
07.02.2017,18:00:00,26.5,
07.02.2017,20:00:00,22.5,
07.02.2017,22:00:00,19.5,
07.03.2017,00:00:00,17.5,
07.03.2017,02:00:00,15.5,
07.03.2017,04:00:00,14,
